model,scenario,season_year,season,count,interval_name,variable
CMCC-CM,historical,2005,JJA,2,Tmax 26–29°C,tmax
CMCC-CMS,historical,2000,JJA,3,Tmax 26–29°C,tmax
CMCC-CMS,historical,2001,JJA,7,Tmax 26–29°C,tmax
CMCC-CMS,historical,2003,JJA,3,Tmax 26–29°C,tmax
CMCC-CMS,historical,2004,JJA,11,Tmax 26–29°C,tmax
CNRM-CM5,historical,2000,JJA,5,Tmax 26–29°C,tmax
CNRM-CM5,historical,2002,JJA,5,Tmax 26–29°C,tmax
CNRM-CM5,historical,2003,JJA,4,Tmax 26–29°C,tmax
CNRM-CM5,historical,2004,JJA,3,Tmax 26–29°C,tmax
CNRM-CM5,historical,2005,JJA,3,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,historical,2000,JJA,3,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,historical,2001,JJA,1,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,historical,2004,JJA,2,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,historical,2005,JJA,2,Tmax 26–29°C,tmax
CanESM2,historical,2000,JJA,1,Tmax 26–29°C,tmax
CanESM2,historical,2002,JJA,7,Tmax 26–29°C,tmax
EC-EARTH,historical,2001,JJA,1,Tmax 26–29°C,tmax
EC-EARTH,historical,2003,JJA,1,Tmax 26–29°C,tmax
EC-EARTH,historical,2005,JJA,2,Tmax 26–29°C,tmax
FGOALS-g2,historical,2000,JJA,3,Tmax 26–29°C,tmax
FGOALS-g2,historical,2001,JJA,9,Tmax 26–29°C,tmax
FGOALS-g2,historical,2002,JJA,3,Tmax 26–29°C,tmax
FGOALS-g2,historical,2003,JJA,4,Tmax 26–29°C,tmax
FGOALS-g2,historical,2004,JJA,6,Tmax 26–29°C,tmax
FGOALS-g2,historical,2005,JJA,8,Tmax 26–29°C,tmax
GFDL-CM3,historical,2000,JJA,8,Tmax 26–29°C,tmax
GFDL-CM3,historical,2001,JJA,5,Tmax 26–29°C,tmax
GFDL-CM3,historical,2002,JJA,3,Tmax 26–29°C,tmax
GFDL-CM3,historical,2005,JJA,2,Tmax 26–29°C,tmax
GFDL-ESM2G,historical,2000,JJA,3,Tmax 26–29°C,tmax
GFDL-ESM2G,historical,2001,JJA,5,Tmax 26–29°C,tmax
GFDL-ESM2G,historical,2002,JJA,2,Tmax 26–29°C,tmax
GFDL-ESM2G,historical,2003,JJA,2,Tmax 26–29°C,tmax
GFDL-ESM2G,historical,2004,JJA,3,Tmax 26–29°C,tmax
GFDL-ESM2G,historical,2005,JJA,3,Tmax 26–29°C,tmax
GFDL-ESM2M,historical,2000,JJA,18,Tmax 26–29°C,tmax
GFDL-ESM2M,historical,2001,JJA,3,Tmax 26–29°C,tmax
GFDL-ESM2M,historical,2002,JJA,5,Tmax 26–29°C,tmax
GFDL-ESM2M,historical,2003,JJA,6,Tmax 26–29°C,tmax
GFDL-ESM2M,historical,2005,JJA,1,Tmax 26–29°C,tmax
IPSL-CM5A-LR,historical,2003,JJA,1,Tmax 26–29°C,tmax
IPSL-CM5A-LR,historical,2004,JJA,7,Tmax 26–29°C,tmax
IPSL-CM5A-MR,historical,2002,JJA,6,Tmax 26–29°C,tmax
IPSL-CM5A-MR,historical,2003,JJA,3,Tmax 26–29°C,tmax
IPSL-CM5A-MR,historical,2005,JJA,1,Tmax 26–29°C,tmax
IPSL-CM5B-LR,historical,2000,JJA,1,Tmax 26–29°C,tmax
IPSL-CM5B-LR,historical,2001,JJA,3,Tmax 26–29°C,tmax
IPSL-CM5B-LR,historical,2002,JJA,1,Tmax 26–29°C,tmax
IPSL-CM5B-LR,historical,2005,JJA,4,Tmax 26–29°C,tmax
MIROC-ESM,historical,2000,JJA,1,Tmax 26–29°C,tmax
MIROC-ESM,historical,2001,JJA,2,Tmax 26–29°C,tmax
MIROC-ESM,historical,2002,JJA,3,Tmax 26–29°C,tmax
MIROC-ESM,historical,2003,JJA,5,Tmax 26–29°C,tmax
MIROC-ESM,historical,2004,JJA,1,Tmax 26–29°C,tmax
