model,scenario,year,count,interval_name,variable
BNU-ESM,rcp26,2024,6,pr 50mm,Precipitation
BNU-ESM,rcp26,2025,10,pr 50mm,Precipitation
BNU-ESM,rcp26,2026,8,pr 50mm,Precipitation
BNU-ESM,rcp26,2027,4,pr 50mm,Precipitation
BNU-ESM,rcp26,2029,5,pr 50mm,Precipitation
BNU-ESM,rcp26,2030,6,pr 50mm,Precipitation
BNU-ESM,rcp26,2031,16,pr 50mm,Precipitation
BNU-ESM,rcp26,2032,9,pr 50mm,Precipitation
BNU-ESM,rcp26,2033,4,pr 50mm,Precipitation
BNU-ESM,rcp26,2034,8,pr 50mm,Precipitation
BNU-ESM,rcp26,2035,7,pr 50mm,Precipitation
BNU-ESM,rcp26,2036,12,pr 50mm,Precipitation
CCSM4,rcp26,2006,17,pr 50mm,Precipitation
CCSM4,rcp26,2007,8,pr 50mm,Precipitation
CCSM4,rcp26,2008,4,pr 50mm,Precipitation
CCSM4,rcp26,2009,13,pr 50mm,Precipitation
CCSM4,rcp26,2010,10,pr 50mm,Precipitation
CCSM4,rcp26,2011,11,pr 50mm,Precipitation
CCSM4,rcp26,2012,3,pr 50mm,Precipitation
CCSM4,rcp26,2013,10,pr 50mm,Precipitation
CCSM4,rcp26,2014,7,pr 50mm,Precipitation
CCSM4,rcp26,2015,16,pr 50mm,Precipitation
CCSM4,rcp26,2016,11,pr 50mm,Precipitation
CCSM4,rcp26,2017,7,pr 50mm,Precipitation
CCSM4,rcp26,2018,4,pr 50mm,Precipitation
CCSM4,rcp26,2019,10,pr 50mm,Precipitation
CCSM4,rcp26,2020,15,pr 50mm,Precipitation
CCSM4,rcp26,2021,8,pr 50mm,Precipitation
CCSM4,rcp26,2022,11,pr 50mm,Precipitation
CCSM4,rcp26,2023,11,pr 50mm,Precipitation
CCSM4,rcp26,2024,6,pr 50mm,Precipitation
CCSM4,rcp26,2025,9,pr 50mm,Precipitation
CCSM4,rcp26,2026,13,pr 50mm,Precipitation
CCSM4,rcp26,2027,8,pr 50mm,Precipitation
CCSM4,rcp26,2028,13,pr 50mm,Precipitation
CCSM4,rcp26,2029,3,pr 50mm,Precipitation
CCSM4,rcp26,2030,9,pr 50mm,Precipitation
CCSM4,rcp26,2031,3,pr 50mm,Precipitation
CCSM4,rcp26,2032,10,pr 50mm,Precipitation
CCSM4,rcp26,2033,11,pr 50mm,Precipitation
CCSM4,rcp26,2034,5,pr 50mm,Precipitation
CCSM4,rcp26,2035,7,pr 50mm,Precipitation
CCSM4,rcp26,2036,6,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2006,12,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2007,9,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2008,7,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2009,11,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2010,8,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2011,6,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2012,7,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2013,11,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2014,16,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2015,3,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2016,14,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2017,9,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2018,12,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2019,6,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2020,16,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2021,5,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2022,5,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2023,9,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2024,9,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2025,3,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2026,13,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2027,7,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2028,4,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2029,7,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2030,10,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2031,8,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2032,5,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2033,3,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2034,8,pr 50mm,Precipitation
