model,scenario,year,gen_count
FGOALS-g2,rcp26,2036,7.196687384615385
GFDL-CM3,rcp26,2006,7.232087846153845
GFDL-CM3,rcp26,2007,7.326401846153845
GFDL-CM3,rcp26,2008,7.4832741538461525
GFDL-CM3,rcp26,2009,7.210620769230769
GFDL-CM3,rcp26,2010,7.281266461538461
GFDL-CM3,rcp26,2011,7.690806
GFDL-CM3,rcp26,2012,7.942281076923076
GFDL-CM3,rcp26,2013,7.551786153846154
GFDL-CM3,rcp26,2014,7.116320769230768
GFDL-CM3,rcp26,2015,8.164045692307694
GFDL-CM3,rcp26,2016,7.7573
GFDL-CM3,rcp26,2017,7.660286000000001
GFDL-CM3,rcp26,2018,7.429130769230769
GFDL-CM3,rcp26,2019,7.846307230769231
GFDL-CM3,rcp26,2020,7.484841538461539
GFDL-CM3,rcp26,2021,7.654322769230769
GFDL-CM3,rcp26,2022,7.88164
GFDL-CM3,rcp26,2023,7.875594307692308
GFDL-CM3,rcp26,2024,7.540749076923077
GFDL-CM3,rcp26,2025,7.9304363076923075
GFDL-CM3,rcp26,2026,7.706327384615385
GFDL-CM3,rcp26,2027,8.053578
GFDL-CM3,rcp26,2028,7.674362923076923
GFDL-CM3,rcp26,2029,7.933062
GFDL-CM3,rcp26,2030,8.022862153846154
GFDL-CM3,rcp26,2031,7.8684847692307684
GFDL-CM3,rcp26,2032,7.9943378461538455
GFDL-CM3,rcp26,2033,8.254842153846154
GFDL-CM3,rcp26,2034,7.99017
GFDL-CM3,rcp26,2035,8.172506615384615
GFDL-CM3,rcp26,2036,8.411337384615384
GFDL-ESM2G,rcp26,2006,7.202920923076924
GFDL-ESM2G,rcp26,2007,6.713399076923077
GFDL-ESM2G,rcp26,2008,7.381897230769232
GFDL-ESM2G,rcp26,2009,7.371674769230768
GFDL-ESM2G,rcp26,2010,7.681808153846155
GFDL-ESM2G,rcp26,2011,7.4057759999999995
GFDL-ESM2G,rcp26,2012,7.131523230769229
GFDL-ESM2G,rcp26,2013,7.087918307692307
GFDL-ESM2G,rcp26,2014,6.928634923076922
GFDL-ESM2G,rcp26,2015,7.589847230769231
GFDL-ESM2G,rcp26,2016,7.344903538461538
GFDL-ESM2G,rcp26,2017,7.150302923076923
GFDL-ESM2G,rcp26,2018,7.285396153846153
GFDL-ESM2G,rcp26,2019,7.273341846153846
GFDL-ESM2G,rcp26,2020,7.724432
GFDL-ESM2G,rcp26,2021,7.417943692307691
GFDL-ESM2G,rcp26,2022,6.958027230769231
GFDL-ESM2G,rcp26,2023,7.782149692307692
GFDL-ESM2G,rcp26,2024,7.144854307692309
GFDL-ESM2G,rcp26,2025,7.2264736923076915
GFDL-ESM2G,rcp26,2026,6.800801538461537
GFDL-ESM2G,rcp26,2027,7.398923384615384
GFDL-ESM2G,rcp26,2028,6.963028
GFDL-ESM2G,rcp26,2029,7.015710615384616
GFDL-ESM2G,rcp26,2030,7.4057910769230775
GFDL-ESM2G,rcp26,2031,7.803609846153846
GFDL-ESM2G,rcp26,2032,7.663804923076924
GFDL-ESM2G,rcp26,2033,7.7172990769230765
GFDL-ESM2G,rcp26,2034,7.08380923076923
GFDL-ESM2G,rcp26,2035,7.294008461538461
GFDL-ESM2G,rcp26,2036,7.500293846153846
HadGEM2-AO,rcp26,2006,6.826347692307692
HadGEM2-AO,rcp26,2007,7.134753692307692
HadGEM2-AO,rcp26,2008,7.135654153846153
HadGEM2-AO,rcp26,2009,6.988848923076923
HadGEM2-AO,rcp26,2010,6.939436923076923
HadGEM2-AO,rcp26,2011,7.215466461538461
HadGEM2-AO,rcp26,2012,6.790614615384616
HadGEM2-AO,rcp26,2013,7.103520923076923
HadGEM2-AO,rcp26,2014,7.086214
HadGEM2-AO,rcp26,2015,6.7784823076923075
HadGEM2-AO,rcp26,2016,7.513601846153846
HadGEM2-AO,rcp26,2017,7.015947846153845
HadGEM2-AO,rcp26,2018,7.6085301538461545
HadGEM2-AO,rcp26,2019,7.263124307692307
HadGEM2-AO,rcp26,2020,7.443691076923077
HadGEM2-AO,rcp26,2021,7.510119076923077
HadGEM2-AO,rcp26,2022,7.091937846153846
HadGEM2-AO,rcp26,2023,6.5912595384615384
HadGEM2-AO,rcp26,2024,7.187353846153847
HadGEM2-AO,rcp26,2025,7.577761692307691
HadGEM2-AO,rcp26,2026,7.872658307692308
HadGEM2-AO,rcp26,2027,7.411404769230769
HadGEM2-AO,rcp26,2028,7.409054923076923
HadGEM2-AO,rcp26,2029,7.332314615384616
HadGEM2-AO,rcp26,2030,7.509070153846154
HadGEM2-AO,rcp26,2031,7.318560000000001
HadGEM2-AO,rcp26,2032,7.252727538461539
HadGEM2-AO,rcp26,2033,7.638356307692307
HadGEM2-AO,rcp26,2034,7.568683384615384
HadGEM2-AO,rcp26,2035,7.48097923076923
HadGEM2-AO,rcp26,2036,7.131288461538461
HadGEM2-ES,rcp26,2006,7.372473384615385
HadGEM2-ES,rcp26,2007,7.541201384615384
HadGEM2-ES,rcp26,2008,6.998812769230767
HadGEM2-ES,rcp26,2009,7.697450153846153
HadGEM2-ES,rcp26,2010,6.9466329230769235
HadGEM2-ES,rcp26,2011,7.401797692307692
HadGEM2-ES,rcp26,2012,7.449644153846152
HadGEM2-ES,rcp26,2013,7.409247538461537
HadGEM2-ES,rcp26,2014,7.2237
HadGEM2-ES,rcp26,2015,7.375583384615384
HadGEM2-ES,rcp26,2016,6.852004615384615
HadGEM2-ES,rcp26,2017,7.635126923076924
HadGEM2-ES,rcp26,2018,7.984878153846154
HadGEM2-ES,rcp26,2019,7.573399692307693
HadGEM2-ES,rcp26,2020,7.523236461538461
HadGEM2-ES,rcp26,2021,7.767854153846153
HadGEM2-ES,rcp26,2022,7.845534461538462
HadGEM2-ES,rcp26,2023,7.9937844615384614
HadGEM2-ES,rcp26,2024,8.200973384615384
HadGEM2-ES,rcp26,2025,7.909422153846154
HadGEM2-ES,rcp26,2026,8.075800769230769
HadGEM2-ES,rcp26,2027,7.8174107692307695
HadGEM2-ES,rcp26,2028,7.586247076923077
HadGEM2-ES,rcp26,2029,7.522711230769231
HadGEM2-ES,rcp26,2030,7.8651296923076925
HadGEM2-ES,rcp26,2031,7.978762923076923
HadGEM2-ES,rcp26,2032,8.464869384615385
HadGEM2-ES,rcp26,2033,7.749924
HadGEM2-ES,rcp26,2034,7.9517743076923075
HadGEM2-ES,rcp26,2035,8.24481476923077
HadGEM2-ES,rcp26,2036,8.174397538461537
IPSL-CM5A-LR,rcp26,2006,7.026024461538461
IPSL-CM5A-LR,rcp26,2007,6.956581076923077
IPSL-CM5A-LR,rcp26,2008,7.647437999999999
IPSL-CM5A-LR,rcp26,2009,7.723664461538462
IPSL-CM5A-LR,rcp26,2010,7.510499538461539
IPSL-CM5A-LR,rcp26,2011,7.30412
IPSL-CM5A-LR,rcp26,2012,7.688034769230769
IPSL-CM5A-LR,rcp26,2013,7.232191076923076
IPSL-CM5A-LR,rcp26,2014,7.550523384615386
IPSL-CM5A-LR,rcp26,2015,7.566018615384615
IPSL-CM5A-LR,rcp26,2016,7.550649692307691
IPSL-CM5A-LR,rcp26,2017,7.328357076923077
IPSL-CM5A-LR,rcp26,2018,7.587097076923076
IPSL-CM5A-LR,rcp26,2019,7.709895692307692
IPSL-CM5A-LR,rcp26,2020,7.86235
IPSL-CM5A-LR,rcp26,2021,7.69125523076923
IPSL-CM5A-LR,rcp26,2022,7.570844769230768
IPSL-CM5A-LR,rcp26,2023,7.64613276923077
IPSL-CM5A-LR,rcp26,2024,7.439755999999999
IPSL-CM5A-LR,rcp26,2025,8.113708615384615
IPSL-CM5A-LR,rcp26,2026,8.103421846153847
IPSL-CM5A-LR,rcp26,2027,8.015745846153846
IPSL-CM5A-LR,rcp26,2028,7.6546910769230765
IPSL-CM5A-LR,rcp26,2029,7.588224769230769
IPSL-CM5A-LR,rcp26,2030,7.907210461538462
IPSL-CM5A-LR,rcp26,2031,7.764818153846154
IPSL-CM5A-LR,rcp26,2032,7.77317923076923
IPSL-CM5A-LR,rcp26,2033,8.196085692307692
IPSL-CM5A-LR,rcp26,2034,8.162608461538461
IPSL-CM5A-LR,rcp26,2035,7.90784046153846
IPSL-CM5A-LR,rcp26,2036,7.933468
