organism,scenario,bio_year,season_group,ensemble_dd_share,ensemble_seasonal_dd,n_models
Aedes aegypti,rcp60,2032,May-Oct,65.60622624102353,3315.6848302477747,15
Aedes aegypti,rcp60,2032,Nov-Apr,34.39377375897647,1741.7375361722927,15
Aedes aegypti,rcp60,2033,May-Oct,64.84844535453831,3309.204576626931,15
Aedes aegypti,rcp60,2033,Nov-Apr,35.151554645461694,1799.9396005072133,15
Aedes aegypti,rcp60,2034,May-Oct,64.60360927480872,3291.8497446087736,15
Aedes aegypti,rcp60,2034,Nov-Apr,35.39639072519128,1804.2641919003102,15
Aedes aegypti,rcp60,2035,May-Oct,65.57075999035119,3290.04559495365,15
Aedes aegypti,rcp60,2035,Nov-Apr,34.42924000964881,1736.0046487671877,15
Aedes aegypti,rcp85,2006,May-Oct,66.23146678798015,3228.9002776868847,30
Aedes aegypti,rcp85,2006,Nov-Apr,33.768533212019854,1652.6643066932834,30
Aedes aegypti,rcp85,2007,May-Oct,65.59232754055098,3198.3990922721073,30
Aedes aegypti,rcp85,2007,Nov-Apr,34.40767245944901,1683.9944427226947,30
Aedes aegypti,rcp85,2008,May-Oct,66.41860180644503,3217.246737034377,30
Aedes aegypti,rcp85,2008,Nov-Apr,33.58139819355497,1632.7567064242037,30
Aedes aegypti,rcp85,2009,May-Oct,65.42365816920507,3210.1889157927435,30
Aedes aegypti,rcp85,2009,Nov-Apr,34.57634183079493,1700.2023970637647,30
Aedes aegypti,rcp85,2010,May-Oct,66.05719241353084,3243.263427839766,30
Aedes aegypti,rcp85,2010,Nov-Apr,33.94280758646915,1672.5515219302035,30
Aedes aegypti,rcp85,2011,May-Oct,66.44053777287111,3216.09128578294,30
Aedes aegypti,rcp85,2011,Nov-Apr,33.55946222712889,1631.4913101116051,30
Aedes aegypti,rcp85,2012,May-Oct,65.95195808649474,3221.8044671471457,30
Aedes aegypti,rcp85,2012,Nov-Apr,34.04804191350526,1665.717846202279,30
Aedes aegypti,rcp85,2013,May-Oct,65.24080978189518,3218.3961534778814,30
Aedes aegypti,rcp85,2013,Nov-Apr,34.75919021810482,1725.3004563932768,30
Aedes aegypti,rcp85,2014,May-Oct,66.31566351734241,3251.977014120769,30
Aedes aegypti,rcp85,2014,Nov-Apr,33.68433648265759,1658.304609748801,30
Aedes aegypti,rcp85,2015,May-Oct,66.15945499722969,3234.9852824014642,30
Aedes aegypti,rcp85,2015,Nov-Apr,33.84054500277031,1658.030779371393,30
Aedes aegypti,rcp85,2016,May-Oct,65.94051831112638,3261.7932819976154,30
Aedes aegypti,rcp85,2016,Nov-Apr,34.05948168887361,1691.410473471711,30
Aedes aegypti,rcp85,2017,May-Oct,66.27747417254425,3253.9877315388644,30
Aedes aegypti,rcp85,2017,Nov-Apr,33.722525827455755,1660.467795299963,30
Aedes aegypti,rcp85,2018,May-Oct,65.90688054336881,3237.1793096146703,30
Aedes aegypti,rcp85,2018,Nov-Apr,34.093119456631186,1681.8378681396814,30
Aedes aegypti,rcp85,2019,May-Oct,65.48277783158274,3223.686421176382,30
Aedes aegypti,rcp85,2019,Nov-Apr,34.517222168417256,1701.7176588245006,30
Aedes aegypti,rcp85,2020,May-Oct,65.44559107580842,3225.0163560265078,30
Aedes aegypti,rcp85,2020,Nov-Apr,34.55440892419157,1707.8953777238132,30
Aedes aegypti,rcp85,2021,May-Oct,65.1115606623474,3257.845584970104,30
Aedes aegypti,rcp85,2021,Nov-Apr,34.8884393376526,1753.6540566365193,30
Aedes aegypti,rcp85,2022,May-Oct,65.74342795174276,3259.509664223557,30
Aedes aegypti,rcp85,2022,Nov-Apr,34.25657204825724,1704.1780137874973,30
Aedes aegypti,rcp85,2023,May-Oct,65.41936309482418,3298.37183942978,30
Aedes aegypti,rcp85,2023,Nov-Apr,34.58063690517583,1748.2247095426474,30
Aedes aegypti,rcp85,2024,May-Oct,65.89764894575531,3253.1074497239265,30
Aedes aegypti,rcp85,2024,Nov-Apr,34.10235105424469,1687.8941871865234,30
Aedes aegypti,rcp85,2025,May-Oct,65.24271276512864,3288.2318987510935,30
Aedes aegypti,rcp85,2025,Nov-Apr,34.757287234871356,1757.7599592875988,30
Aedes aegypti,rcp85,2026,May-Oct,65.82434105890033,3305.240721451202,30
Aedes aegypti,rcp85,2026,Nov-Apr,34.17565894109966,1722.4468414954952,30
