organism,scenario,model,bio_year,season_group,base_temp,dd_per_generation,seasonal_dd,seasonal_generation_equivalent,annual_bioyear_dd,dd_share
Cockroach,rcp85,GFDL-ESM2M,2021,May-Oct,15.9,650,2003.637139541694,3.082518676217991,2778.59812529071,72.10964123615624
Cockroach,rcp85,GFDL-ESM2M,2021,Nov-Apr,15.9,650,774.960985749016,1.1922476703831015,2778.59812529071,27.890358763843764
Cockroach,rcp85,GFDL-ESM2M,2022,May-Oct,15.9,650,2060.8963103827436,3.170609708281144,2541.9006101831524,81.07698240153651
Cockroach,rcp85,GFDL-ESM2M,2022,Nov-Apr,15.9,650,481.00429980040855,0.7400066150775516,2541.9006101831524,18.92301759846348
Cockroach,rcp85,GFDL-ESM2M,2023,May-Oct,15.9,650,1869.108502667174,2.875551542564883,2485.9039890560975,75.18828204531253
Cockroach,rcp85,GFDL-ESM2M,2023,Nov-Apr,15.9,650,616.7954863889235,0.948916132906036,2485.9039890560975,24.811717954687456
Cockroach,rcp85,GFDL-ESM2M,2024,May-Oct,15.9,650,1842.8909350748197,2.8352168231920305,2665.2544988512936,69.1450267082972
Cockroach,rcp85,GFDL-ESM2M,2024,Nov-Apr,15.9,650,822.3635637764739,1.2651747135022675,2665.2544988512936,30.854973291702798
Cockroach,rcp85,GFDL-ESM2M,2025,May-Oct,15.9,650,2027.3561195819923,3.1190094147415266,2872.188710136103,70.58575616662468
Cockroach,rcp85,GFDL-ESM2M,2025,Nov-Apr,15.9,650,844.8325905541108,1.2997424470063244,2872.188710136103,29.41424383337532
Cockroach,rcp85,GFDL-ESM2M,2026,May-Oct,15.9,650,2033.2498673415707,3.1280767189870318,2630.090630300022,77.30721686612115
Cockroach,rcp85,GFDL-ESM2M,2026,Nov-Apr,15.9,650,596.8407629584515,0.9182165583976176,2630.090630300022,22.692783133878855
Cockroach,rcp85,GFDL-ESM2M,2027,May-Oct,15.9,650,1845.6203314229197,2.8394158944967995,2518.8835745719275,73.2713631568531
Cockroach,rcp85,GFDL-ESM2M,2027,Nov-Apr,15.9,650,673.2632431490078,1.0357896048446276,2518.8835745719275,26.7286368431469
