year,generation_count,valid_days,annual_dd,model,ssp,lon,lat,period
2031,4.0,365,3158.6566,EC-Earth3,ssp370,121.53,25.02,future
2032,4.0,365,3189.2401,EC-Earth3,ssp370,121.53,25.02,future
2033,4.0,365,3075.3815,EC-Earth3,ssp370,121.53,25.02,future
2034,4.0,365,3047.6856,EC-Earth3,ssp370,121.53,25.02,future
2004,4.0,365,2886.9013999999997,EC-Earth3,ssp585,121.53,25.02,historical
2005,4.0,365,2959.9669,EC-Earth3,ssp585,121.53,25.02,historical
2006,4.0,365,3045.0543000000002,EC-Earth3,ssp585,121.53,25.02,historical
2007,4.0,365,2908.0914999999995,EC-Earth3,ssp585,121.53,25.02,historical
2008,4.0,365,3042.1308,EC-Earth3,ssp585,121.53,25.02,historical
2009,4.0,365,2907.3549,EC-Earth3,ssp585,121.53,25.02,historical
2010,4.0,365,2843.3251999999998,EC-Earth3,ssp585,121.53,25.02,historical
2011,4.0,365,2890.9232,EC-Earth3,ssp585,121.53,25.02,historical
2012,4.0,365,2948.8792999999996,EC-Earth3,ssp585,121.53,25.02,historical
2013,4.0,365,2742.0056000000004,EC-Earth3,ssp585,121.53,25.02,historical
2014,4.0,365,2897.6739,EC-Earth3,ssp585,121.53,25.02,historical
2015,4.0,365,2969.2820999999994,EC-Earth3,ssp585,121.53,25.02,future
2016,4.0,365,3144.362,EC-Earth3,ssp585,121.53,25.02,future
2017,4.0,365,2833.608,EC-Earth3,ssp585,121.53,25.02,future
2018,4.0,365,2697.9475999999995,EC-Earth3,ssp585,121.53,25.02,future
2019,4.0,365,3124.048,EC-Earth3,ssp585,121.53,25.02,future
2020,4.0,365,2612.2900999999997,EC-Earth3,ssp585,121.53,25.02,future
2021,4.0,365,2645.0053,EC-Earth3,ssp585,121.53,25.02,future
2022,4.0,365,3138.3489,EC-Earth3,ssp585,121.53,25.02,future
2023,4.0,365,2892.7281,EC-Earth3,ssp585,121.53,25.02,future
2024,4.0,365,2888.5081,EC-Earth3,ssp585,121.53,25.02,future
2025,4.0,365,2996.8468999999996,EC-Earth3,ssp585,121.53,25.02,future
2026,4.0,365,2798.9336999999996,EC-Earth3,ssp585,121.53,25.02,future
2027,4.0,365,2942.7849,EC-Earth3,ssp585,121.53,25.02,future
2028,4.0,365,3069.1427,EC-Earth3,ssp585,121.53,25.02,future
2029,4.0,365,3168.8554,EC-Earth3,ssp585,121.53,25.02,future
2030,4.0,365,2944.0424999999996,EC-Earth3,ssp585,121.53,25.02,future
2031,4.0,365,2661.9815,EC-Earth3,ssp585,121.53,25.02,future
2032,4.0,365,3169.9825,EC-Earth3,ssp585,121.53,25.02,future
2033,4.0,365,3002.9123,EC-Earth3,ssp585,121.53,25.02,future
2034,4.0,365,3033.4483,EC-Earth3,ssp585,121.53,25.02,future
